date,model,lead,tmax,n_hours
2024-01-01,icon_seamless,h0,9.7,24
2024-01-01,ukmo_seamless,h0,10.3,24
2024-01-01,meteofrance_seamless,h0,12.6,24
2024-01-01,gem_seamless,h0,11.4,24
2024-01-02,icon_seamless,h0,6.6,24
2024-01-02,ukmo_seamless,h0,6.2,24
2024-01-02,meteofrance_seamless,h0,6.8,24
2024-01-02,gem_seamless,h0,6.7,24
2024-01-03,icon_seamless,h0,8.8,24
2024-01-03,ukmo_seamless,h0,9.3,24
2024-01-03,meteofrance_seamless,h0,10.4,24
2024-01-03,gem_seamless,h0,9.2,24
2024-01-04,icon_seamless,h0,12.9,24
2024-01-04,ukmo_seamless,h0,12.3,24
2024-01-04,meteofrance_seamless,h0,12.7,24
2024-01-04,gem_seamless,h0,12.5,24
2024-01-05,icon_seamless,h0,13.6,24
2024-01-05,ukmo_seamless,h0,13.1,24
2024-01-05,meteofrance_seamless,h0,14.1,24
2024-01-05,gem_seamless,h0,14.6,24
2024-01-06,icon_seamless,h0,15.0,24
2024-01-06,ukmo_seamless,h0,14.1,24
2024-01-06,meteofrance_seamless,h0,15.6,24
2024-01-06,gem_seamless,h0,15.0,24
2024-01-07,icon_seamless,h0,10.3,24
2024-01-07,ukmo_seamless,h0,10.0,24
2024-01-07,meteofrance_seamless,h0,12.7,24
2024-01-07,gem_seamless,h0,12.1,24
2024-01-08,icon_seamless,h0,10.8,24
2024-01-08,ukmo_seamless,h0,10.8,24
2024-01-08,meteofrance_seamless,h0,11.5,24
2024-01-08,gem_seamless,h0,12.4,24
2024-01-09,icon_seamless,h0,13.3,24
2024-01-09,ukmo_seamless,h0,12.8,24
2024-01-09,meteofrance_seamless,h0,12.9,24
2024-01-09,gem_seamless,h0,13.5,24
2024-01-10,icon_seamless,h0,11.9,24
2024-01-10,ukmo_seamless,h0,10.7,24
2024-01-10,meteofrance_seamless,h0,11.8,24
2024-01-10,gem_seamless,h0,11.4,24
2024-01-11,icon_seamless,h0,15.2,24
2024-01-11,ukmo_seamless,h0,14.8,24
2024-01-11,meteofrance_seamless,h0,15.7,24
2024-01-11,gem_seamless,h0,15.5,24
2024-01-12,icon_seamless,h0,16.7,24
2024-01-12,ukmo_seamless,h0,15.9,24
2024-01-12,meteofrance_seamless,h0,16.0,24
2024-01-12,gem_seamless,h0,17.2,24
2024-01-13,icon_seamless,h0,19.3,24
2024-01-13,ukmo_seamless,h0,18.3,24
2024-01-13,meteofrance_seamless,h0,19.6,24
2024-01-13,gem_seamless,h0,19.8,24
2024-01-14,icon_seamless,h0,14.8,24
2024-01-14,ukmo_seamless,h0,15.6,24
2024-01-14,meteofrance_seamless,h0,14.6,24
2024-01-14,gem_seamless,h0,15.5,24
2024-01-15,icon_seamless,h0,7.4,24
2024-01-15,ukmo_seamless,h0,10.1,24
2024-01-15,meteofrance_seamless,h0,11.5,24
2024-01-15,gem_seamless,h0,11.6,24
2024-01-16,icon_seamless,h0,6.1,24
2024-01-16,ukmo_seamless,h0,7.0,24
2024-01-16,meteofrance_seamless,h0,7.5,24
2024-01-16,gem_seamless,h0,6.8,24
2024-01-17,icon_seamless,h0,5.0,24
2024-01-17,ukmo_seamless,h0,6.4,24
2024-01-17,meteofrance_seamless,h0,4.6,24
2024-01-17,gem_seamless,h0,5.5,24
2024-01-18,icon_seamless,h0,4.8,24
2024-01-18,ukmo_seamless,h0,5.4,24
2024-01-18,meteofrance_seamless,h0,5.0,24
2024-01-18,gem_seamless,h0,4.7,24
2024-01-19,icon_seamless,h0,4.0,24
2024-01-19,ukmo_seamless,h0,5.5,24
2024-01-19,meteofrance_seamless,h0,3.7,24
2024-01-19,gem_seamless,h0,5.3,24
2024-01-19,icon_seamless,h24,2.9,4
2024-01-19,meteofrance_seamless,h24,2.2,4
2024-01-19,gem_seamless,h24,2.3,4
2024-01-20,icon_seamless,h24,6.4,24
2024-01-20,meteofrance_seamless,h24,6.0,24
2024-01-20,gem_seamless,h24,5.7,24
2024-01-20,icon_seamless,h0,5.4,24
2024-01-20,ukmo_seamless,h0,6.2,24
2024-01-20,meteofrance_seamless,h0,6.1,24
2024-01-20,gem_seamless,h0,6.5,24
2024-01-21,icon_seamless,h24,5.2,24
2024-01-21,meteofrance_seamless,h24,5.1,24
2024-01-21,gem_seamless,h24,4.8,24
2024-01-21,icon_seamless,h0,4.7,24
2024-01-21,ukmo_seamless,h0,5.0,24
2024-01-21,meteofrance_seamless,h0,5.6,24
2024-01-21,gem_seamless,h0,4.9,24
2024-01-22,icon_seamless,h24,0.9,24
2024-01-22,meteofrance_seamless,h24,0.7,24
2024-01-22,gem_seamless,h24,0.0,24
2024-01-22,icon_seamless,h0,0.4,24
2024-01-22,ukmo_seamless,h0,1.5,24
2024-01-22,meteofrance_seamless,h0,1.3,24
2024-01-22,gem_seamless,h0,1.4,24
2024-01-23,icon_seamless,h24,1.0,24
2024-01-23,meteofrance_seamless,h24,2.9,24
2024-01-23,gem_seamless,h24,1.1,24
2024-01-23,icon_seamless,h0,0.9,24
2024-01-23,ukmo_seamless,h0,1.5,24
2024-01-23,meteofrance_seamless,h0,2.1,24
2024-01-23,gem_seamless,h0,1.7,24
2024-01-24,icon_seamless,h24,2.7,24
2024-01-24,meteofrance_seamless,h24,3.3,24
2024-01-24,gem_seamless,h24,4.0,24
2024-01-24,icon_seamless,h0,3.8,24
2024-01-24,ukmo_seamless,h0,3.7,24
2024-01-24,meteofrance_seamless,h0,4.1,24
2024-01-24,gem_seamless,h0,3.8,24
2024-01-25,icon_seamless,h24,6.9,24
2024-01-25,meteofrance_seamless,h24,6.9,24
2024-01-25,gem_seamless,h24,6.4,24
2024-01-25,icon_seamless,h0,7.0,24
2024-01-25,ukmo_seamless,h0,6.7,24
2024-01-25,meteofrance_seamless,h0,6.9,24
2024-01-25,gem_seamless,h0,6.7,24
2024-01-26,icon_seamless,h24,6.9,24
2024-01-26,meteofrance_seamless,h24,7.8,24
2024-01-26,gem_seamless,h24,6.0,24
2024-01-26,icon_seamless,h0,7.5,24
2024-01-26,ukmo_seamless,h0,7.9,24
2024-01-26,meteofrance_seamless,h0,7.0,24
2024-01-26,gem_seamless,h0,6.7,24
2024-01-27,icon_seamless,h24,10.2,24
2024-01-27,meteofrance_seamless,h24,9.6,24
2024-01-27,gem_seamless,h24,8.5,24
2024-01-27,icon_seamless,h0,9.8,24
2024-01-27,ukmo_seamless,h0,9.8,24
2024-01-27,meteofrance_seamless,h0,9.5,24
2024-01-27,gem_seamless,h0,9.6,24
2024-01-28,icon_seamless,h24,10.8,24
2024-01-28,meteofrance_seamless,h24,10.6,24
2024-01-28,gem_seamless,h24,8.8,24
2024-01-28,icon_seamless,h0,11.4,24
